DATE,DRAW,WINNING NUMBERS,winning_digit_1,winning_digit_2,winning_digit_3
1530748800.0,1.0,859.0,8.0,5.0,9.0
1530748800.0,0.0,812.0,8.0,1.0,2.0
1530748800.0,2.0,544.0,5.0,4.0,4.0
1530835200.0,1.0,98.0,0.0,9.0,8.0
1530835200.0,2.0,929.0,9.0,2.0,9.0
1530835200.0,0.0,415.0,4.0,1.0,5.0
1530921600.0,0.0,889.0,8.0,8.0,9.0
1530921600.0,1.0,993.0,9.0,9.0,3.0
1530921600.0,2.0,298.0,2.0,9.0,8.0
1531008000.0,2.0,715.0,7.0,1.0,5.0
1531008000.0,0.0,805.0,8.0,0.0,5.0
1531008000.0,1.0,682.0,6.0,8.0,2.0
1531094400.0,2.0,416.0,4.0,1.0,6.0
1531094400.0,1.0,216.0,2.0,1.0,6.0
1531094400.0,0.0,817.0,8.0,1.0,7.0
1531180800.0,0.0,275.0,2.0,7.0,5.0
1531180800.0,1.0,403.0,4.0,0.0,3.0
1531180800.0,2.0,701.0,7.0,0.0,1.0
1531267200.0,0.0,492.0,4.0,9.0,2.0
1531267200.0,1.0,542.0,5.0,4.0,2.0
1531267200.0,2.0,824.0,8.0,2.0,4.0
1531353600.0,0.0,197.0,1.0,9.0,7.0
1531353600.0,1.0,650.0,6.0,5.0,0.0
1531353600.0,2.0,689.0,6.0,8.0,9.0
1531440000.0,2.0,579.0,5.0,7.0,9.0
1531440000.0,1.0,316.0,3.0,1.0,6.0
1531440000.0,0.0,594.0,5.0,9.0,4.0
1531526400.0,0.0,377.0,3.0,7.0,7.0
1531526400.0,1.0,443.0,4.0,4.0,3.0
1531526400.0,2.0,189.0,1.0,8.0,9.0
1531612800.0,0.0,706.0,7.0,0.0,6.0
1531612800.0,1.0,479.0,4.0,7.0,9.0
1531612800.0,2.0,480.0,4.0,8.0,0.0
1531699200.0,0.0,756.0,7.0,5.0,6.0
1531699200.0,1.0,435.0,4.0,3.0,5.0
1531699200.0,2.0,944.0,9.0,4.0,4.0
1531785600.0,0.0,103.0,1.0,0.0,3.0
1531785600.0,1.0,871.0,8.0,7.0,1.0
1531785600.0,2.0,820.0,8.0,2.0,0.0
1531872000.0,2.0,70.0,0.0,7.0,0.0
1531872000.0,1.0,13.0,0.0,1.0,3.0
1531872000.0,0.0,822.0,8.0,2.0,2.0
1531958400.0,0.0,361.0,3.0,6.0,1.0
1531958400.0,1.0,136.0,1.0,3.0,6.0
1531958400.0,2.0,305.0,3.0,0.0,5.0
1532044800.0,0.0,253.0,2.0,5.0,3.0
1532044800.0,1.0,197.0,1.0,9.0,7.0
1532044800.0,2.0,199.0,1.0,9.0,9.0
1532131200.0,0.0,522.0,5.0,2.0,2.0
1532131200.0,1.0,343.0,3.0,4.0,3.0
1532131200.0,2.0,354.0,3.0,5.0,4.0
1532217600.0,1.0,58.0,0.0,5.0,8.0
1532217600.0,0.0,896.0,8.0,9.0,6.0
1532217600.0,2.0,853.0,8.0,5.0,3.0
1532304000.0,1.0,38.0,0.0,3.0,8.0
1532304000.0,2.0,160.0,1.0,6.0,0.0
1532304000.0,0.0,833.0,8.0,3.0,3.0
1532390400.0,0.0,176.0,1.0,7.0,6.0
1532390400.0,1.0,950.0,9.0,5.0,0.0
1532390400.0,2.0,100.0,1.0,0.0,0.0
1532476800.0,0.0,675.0,6.0,7.0,5.0
1532476800.0,1.0,766.0,7.0,6.0,6.0
1532476800.0,2.0,200.0,2.0,0.0,0.0
1532563200.0,1.0,836.0,8.0,3.0,6.0
1532563200.0,0.0,454.0,4.0,5.0,4.0
1532563200.0,2.0,773.0,7.0,7.0,3.0
1532649600.0,0.0,229.0,2.0,2.0,9.0
1532649600.0,1.0,890.0,8.0,9.0,0.0
1532649600.0,2.0,44.0,0.0,4.0,4.0
1532736000.0,1.0,679.0,6.0,7.0,9.0
1532736000.0,0.0,961.0,9.0,6.0,1.0
1532736000.0,2.0,39.0,0.0,3.0,9.0
1532822400.0,2.0,203.0,2.0,0.0,3.0
1532822400.0,1.0,468.0,4.0,6.0,8.0
