DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
03/15/2021,MIDDAY,1 3 9,"2,110","$190,113"
03/14/2021,NIGHT,5 6 0,717,"$59,882"
03/14/2021,EVENING,2 6 1,"2,713","$211,868"
03/14/2021,MIDDAY,7 2 6,"1,788","$240,208"
03/13/2021,NIGHT,3 9 2,"1,461","$124,198"
03/13/2021,EVENING,6 7 1,"3,352","$310,782"
03/13/2021,MIDDAY,3 7 5,"2,918","$246,582"
DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
03/12/2021,NIGHT,8 6 7,"2,030","$176,748"
03/12/2021,EVENING,5 0 2,"2,365","$227,812"
03/12/2021,MIDDAY,8 8 7,"1,247","$235,118"
03/11/2021,NIGHT,7 9 2,"1,631","$142,627"
03/11/2021,EVENING,2 2 7,"2,544","$569,859"
03/11/2021,MIDDAY,4 1 9,"3,109","$558,042"
03/10/2021,NIGHT,7 0 7,974,"$209,066"
03/10/2021,EVENING,0 8 6,"1,741","$142,412"
03/10/2021,MIDDAY,5 1 8,"2,819","$383,754"
03/09/2021,NIGHT,1 8 2,"2,568","$204,297"
03/09/2021,EVENING,7 3 6,"1,853","$201,265"
03/09/2021,MIDDAY,1 6 2,"2,701","$214,863"
03/08/2021,NIGHT,8 2 4,"1,291","$173,855"
03/08/2021,EVENING,3 1 8,"4,601","$732,420"
03/08/2021,MIDDAY,5 9 4,"1,406","$144,644"
